industry_description,total_injuries,total_deaths,total_dafw_cases,total_djtr_cases
Ampere-hour meters manufacturing,0,0,0,0
"Amphetamines, uncompounded, manufacturing",4,0,0,3
"Amplifiers (e.g., auto, home, musical instrument, public address) manufacturing",9,0,2,6
"Amplifiers, (e.g., RF power and IF), broadcast and studio equipment, manufacturing",2,0,0,1
"Amplifiers, magnetic, pulse, and maser, manufacturing",92,0,25,49
Amusement & Recreation Services,21,0,7,12
Amusement & Theme Parks,12,0,2,7
Amusement Park,13,0,3,3
Amusement Ride Manufacturer,7,0,0,1
Amusement and Theme Parks,161,0,40,83
Amusement arcades,23,0,4,4
"Amusement device (except gambling) concession operators (i.e., supplying and servicing in others' facilities)",20,0,10,0
"Amusement device (except gambling) parlors, coin-operated",4,0,3,0
Amusement devices (except gambling) operated in own facilities,1,0,0,0
Amusement facility construction,0,0,0,0
"Amusement machines, coin-operated, manufacturing",122,0,39,57
"Amusement parks (e.g., theme, water)",1795,2,496,866
"Amusement ride concession operators (i.e., supplying and servicing in others' facilities)",12,0,0,5
Amusements,0,0,0,0
Analgesic preparations manufacturing,26,0,10,10
Analog computers manufacturing,15,0,1,12
Analytical Instruments,1,0,1,0
Analytical Laboratory Instrument Manufacturing,18,0,5,8
Analytical Laboratory Instrument Manufacturing - Manufacturer of Scientific Measuring Equipment,0,0,0,0
Analytical Laboratory Instruments Manufacturing,0,0,0,0
"Analytical instruments (e.g., chromatographic, photometers, spectrographs) merchant wholesalers",28,0,13,13
Analytical laboratory instrument manufacturing,11,0,2,8
Analyzers for testing electrical characteristics manufacturing,1,0,1,0
"Analyzers, industrial process control type, manufacturing",28,0,12,3
Anchored earth retention contractors,121,1,35,39
Andirons manufacturing,5,0,2,2
Anesthesia apparatus manufacturing,103,0,36,32
"Anesthesiologists' offices (e.g., centers, clinics)",4,0,4,2
Anesthetic preparations manufacturing,14,0,5,5
"Angle irons, metal, manufacturing",158,0,46,39
"Angle rings (i.e., a machine tool accessory) manufacturing",2,0,1,0
"Angle valves, industrial-type, manufacturing",148,0,48,61
Anhydrous ammonia manufacturing,15,0,2,0
Anidex fibers and filaments manufacturing,6,0,0,2
Aniline manufacturing,0,0,0,0
Animal (except Poultry) Slaughtering,783,0,350,791
Animal (except poultry) slaughtering,76,0,17,38
Animal Feed Manufacturer,17,0,3,10
Animal Production,1,0,1,0
Animal Slaughtering,4,0,2,2
"Animal aquaculture (except finfish, shellfish)",1,0,0,1
Animal except Poultry Slaughtering,6,0,3,2
"Animal exhibits, live",201,0,51,76
Animal fats (except poultry and small game) produced in slaughtering plants,182,0,45,124
Animal fats rendering,130,1,29,77
Animal feed mills (except dog and cat) manufacturing,288,2,122,94
"Animal feed mills, dog and cat, manufacturing",152,1,60,55
Animal feeds (except pet food) merchant wholesalers,8,0,3,1
"Animal feeds, prepared (except dog and cat), manufacturing",42,0,15,14
"Animal feeds, prepared, dog and cat, manufacturing",64,1,28,17
Animal food manufacturing,10,0,4,5
Animal grooming services,0,0,0,0
Animal hospitals,1281,0,198,71
Animal oil rendering,2,0,1,1
"Animal quarantine service, government",32,0,12,10
Animal rights organizations,13,0,3,0
Animal safari parks,3,0,0,1
Animal semen banks,24,0,9,9
Animal shelter and clinic construction,30,0,3,9
Animal shelters,390,0,93,86
"Animal trapping, commercial",2,0,2,0
"Animal traps, metal (except wire), manufacturing",1,0,0,0
Animal welfare associations or leagues,102,0,26,28
Anise oil manufacturing,0,0,0,0
"Anklets, sheer hosiery or socks, knitting or knitting and finishing",3,0,1,3
Annealing metals and metal products for the trade,88,0,25,26
Annular ball bearings manufacturing,23,0,5,14
"Annunciators, relay and solid-state types, industrial display, manufacturing",0,0,0,0
Anodizing equipment manufacturing,78,0,26,28
Anodizing metals and metal products for the trade,364,0,148,143
Anodizng metals and metal products for the trade,2,0,0,2
"Answering services, telephone",0,0,0,0
Ant poisons manufacturing,36,0,19,14
Antacid preparations manufacturing,2,0,1,1
"Antenna, household-type, installation",29,0,14,6
Antennas merchant wholesalers,20,0,5,12
"Antennas, satellite, manufacturing",19,0,6,4
"Antennas, transmitting and receiving, manufacturing",20,0,4,5
Anthelmintic preparations manufacturing,0,0,0,0
Anthraquinone dyes manufacturing,0,0,0,0
Antiaircraft artillery manufacturing,6,0,3,4
Antibacterial preparations manufacturing,5,0,0,5
Antibiotic preparations manufacturing,8,0,8,0
Antibiotics merchant wholesalers,17,0,6,6
"Antibiotics, uncompounded, manufacturing",2,0,2,0
Antidepressant preparations manufacturing,0,0,1,0
Antifreeze merchant wholesalers,6,0,4,0
Antifreeze preparations manufacturing,48,0,11,20
Antigens manufacturing,9,0,4,4
Antimony oxide (except pigments) manufacturing,2,0,2,0
Antineoplastic preparations manufacturing,0,0,0,0
"Antiperspirants, personal, manufacturing",4,0,4,1
Antipoverty advocacy organizations,2,0,3,0
Antique and classic automotive restoration,11,0,7,1
Antique auto dealers,0,0,0,0
Antique dealers (except motor vehicles),18,0,1,2
Antique furniture merchant wholesalers,9,0,2,7
Antique shops,2,0,1,1
"Antiscald bath and shower valves, plumbing, manufacturing",1,0,0,0
Antiscaling compounds manufacturing,6,0,0,1
Antiseptic preparations manufacturing,0,0,0,0
Antiserums manufacturing,10,0,7,3
Antispasmodic preparations manufacturing,1,0,1,0
Antitank rocket launchers manufacturing,1,0,0,1
Antitoxins manufacturing,28,0,13,11
Apartment Rental,4,0,4,0
Apartment building construction general contractors,215,0,87,48
Apartment building for-sale builders,18,0,5,1
Apartment building rental or leasing,1080,2,427,283
Apartment hotel rental or leasing,35,0,14,6
Apartment managers' offices,278,1,151,67
Apartment rental or leasing,178,0,53,60
Apartment rentals & operation,0,0,0,0
Apothecaries,8,0,3,0
Apparal Manufacturing,0,0,0,0
Apparatus wire or cord made from purchased copper in wire drawing plants,7,0,4,3
Apparel Accessories and Other Apparel Manufacturing,1,0,1,0
Apparel Manufacturer,0,0,0,0
Apparel Manufacturing,23,0,5,12
Apparel accessory stores,5,0,2,2
Apparel cut and sew contractors,12,0,6,5
"Apparel fillings (e.g., cotton mill waste, kapok) manufacturing",24,0,2,6
Apparel findings and trimmings cut and sewn from purchased fabric (except apparel contractors),64,0,23,20
Apparel folding and packaging services,32,0,11,8
Apparel manufacturing and accessories,1,0,0,0
"Apparel stores, children's and infants' clothing",7,0,2,0
"Apparel stores, men's and boys' clothing",5,0,0,0
"Apparel stores, used clothing",204,0,56,83
"Apparel stores, women's and girls' clothing",25,0,6,8
Apparel trimmings merchant wholesalers,18,0,5,6
Apparel webbings manufacturing,1,0,1,0
"Apparel, fur (except apparel contractors), manufacturing",4,0,2,2
"Apparel, piece goods, and notions merchant wholesalers",0,0,0,0
Apperal Manufacturing,6,0,2,1
Apple Packing Warehouse,27,0,7,6
Apple orchards,436,0,197,137
Appliance Repair and Maintenance,1,0,3,0
Appliance controls manufacturing,1,0,1,0
Appliance cords made from purchased insulated wire,6,0,0,1
"Appliance hardware, metal, manufacturing",46,0,6,17
Appliance rental,2,0,1,0
Appliance retailer,0,0,0,0
"Appliance stores, household-type",11,0,2,7
"Appliance stores, household-type, used",1,0,1,0
"Appliance, household-type, repair and maintenance services without retailing new appliances",20,0,7,9
"Appliances, household-type (except water heaters, heating stoves (i.e., noncooking)), gas and electric, merchant wholesalers",35,0,21,3
"Appliances, surgical, merchant wholesalers",165,0,66,63
Application hosting,0,0,0,0
Application service providers (ASPs),1,0,0,0
"Applications development and publishing, except on a custom basis",0,0,0,0
"Applications software programming services, custom computer",24,0,3,1
"Applications software, computer, packaged",23,0,12,0
"Applicators, wood, manufacturing",327,0,90,112
Appliqueing on textile products (except apparel),2,0,0,0
Appraisal (except real estate) services,73,0,11,10
"Appraisers' offices, real estate",0,0,0,0
Apprenticeship training programs,0,0,0,0
Apron supply services,39,0,10,24
"Aprons, waterproof (including rubberized fabric, plastics), cut and sewn from purchased fabric (except apparel contractors)",0,0,0,0
"Aprons, work (except waterproof, leather), women's and girls', cut and sewn from purchased fabric (except apparel contractors)",0,0,0,0
Aquaculture,6,0,3,0
"Aquarium accessories, metal, manufacturing",4,0,0,1
Aquariums,110,0,28,50
Aquariums made from purchased glass,27,0,9,12
Aqueduct construction,141,2,42,41
"Arbitration and conciliation services (except by attorney, paralegal)",2,0,2,0
Arboretums,18,0,6,6
Arborist services,1174,5,369,374
"Arbors (i.e., a machine tool accessory) manufacturing",5,0,2,0
"Arc lamp units, electrotherapeutic (except infrared, ultraviolet), manufacturing",32,0,13,4
"Arc lighting fixtures (except electrotherapeutic), electric, manufacturing",49,0,24,7
Arc welding equipment manufacturing,152,1,33,44
"Arcades, amusement",66,0,40,2
Archeological research and development services,2,0,0,1
Archery equipment manufacturing,30,0,10,14
Archery equipment merchant wholesalers,0,0,0,0
"Arches, glue laminated or pre-engineered wood, manufacturing",47,0,14,16
Architect's equipment and supplies merchant wholesalers,0,0,0,0
Architects' (except landscape) offices,5,0,1,1
"Architects' offices, landscape",8,0,5,1
"Architects' private practices, landscape",7,0,2,0
Architectural (except landscape) design services,5,0,1,1
Architectural (except landscape) services,2,0,0,0
"Architectural block, concrete (e.g., fluted, ground face, screen, slump, split), manufacturing",86,0,33,29
"Architectural coatings (i.e., paint) manufacturing",172,0,70,65
Architectural metalwork manufacturing,182,0,50,55
Architectural metalwork merchant wholesalers,48,0,13,14
"Architectural sculptures, stone, manufacturing",198,1,67,84
"Architectural services, landscape",17,0,7,5
Architectural terra cotta manufacturing,0,0,0,0
"Architectural wall panels, precast concrete, manufacturing",779,3,215,321
"Architectural woodwork and fixtures (i.e., custom designed interiors) manufacturing",249,0,67,97
Archives,17,0,1,1
"Arctics, plastics or plastics soled fabric upper, manufacturing",0,0,0,0
"Area and sports luminaries (e.g., stadium lighting fixtures), electric, manufacturing",4,0,0,2
Arena operators,162,0,64,21
"Arena, no promotion of events, rental or leasing",2,0,1,0
Argillite mining or quarrying,6,0,0,0
Argon manufacturing,0,0,0,0
Armature relays manufacturing,27,0,6,8
Armature rewinding on a factory basis,21,0,5,4
Armature rewinding services (except on an assembly line or factory basis),23,0,7,2
"Armatures, industrial, manufacturing",32,0,8,17
"Arming and fusing devices, missile, manufacturing",4,0,1,3
Armor plate made in iron and steel mills,75,0,26,11
Armored car services,0,0,0,0
Armored military vehicles (except tanks) and parts manufacturing,40,0,12,5
Army,10,0,4,5
Aromatic chemicals merchant wholesalers,0,0,0,0
Aromatic wood gathering,3,0,2,1
Arrangement of car pools and vanpools,13,0,10,0
"Arrestors and coils, lighting, manufacturing",8,0,6,1
Arsenate insecticides manufacturing,2,0,2,0
Art auctions,2,0,1,0
Art dealers,4,0,2,1
Art galleries (except retail),17,0,4,6
"Art goods (e.g., gypsum, plaster of paris) manufacturing",0,0,0,0
Art goods merchant wholesalers,63,0,27,20
Art museums,86,0,32,13
Art needlework contractors on apparel,0,0,0,0
Art prints commercial printing (except screen) without publishing,0,0,0,0
Art prints screen printing without publishing,15,0,7,7
"Art schools (except academic), fine",7,0,5,1
"Art services, graphic",0,0,0,0
"Art studios, commercial",1,0,1,0
"Art therapists' offices (e.g., centers, clinics)",6,0,5,0
Artesian well construction,13,0,6,6
"Artichokes, canned, manufacturing",25,0,9,2
Artificial Christmas trees merchant wholesalers,0,0,0,0
Artificial and Synthetic Fibers and Fila,80,0,40,21
Artificial and Synthetic Fibers and Filaments Manufacturing,1,0,1,0
Artificial flower arrangements assembled from purchased components,0,0,0,0
Artificial flowers merchant wholesalers,25,0,7,8
Artificial insemination services for livestock,6,0,3,0
Artificial turf installation,121,0,48,41
Artificially carbonated waters manufacturing,119,0,60,42
Artist's paint manufacturing,9,0,3,5
Artist's supplies (except paper) manufacturing,40,0,21,3
"Artists (except commercial, musical), independent",5,0,0,0
Artists' supplies merchant wholesalers,3,0,3,0
"Arts and cultural program administration, government",14,0,3,5
Arts event managers with facilities,44,0,10,4
Arts event organizers with facilities,10,0,4,1
Arts event promoters with facilities,22,0,5,0
Arts event promoters without facilities,0,0,0,0
Asbestos abatement services,156,0,45,54
Asbestos removal contractors,16,0,8,5
Ash collection services,37,0,13,10
"Ash hauling, local",11,2,4,5
"Ashtrays, glass, made in glass making plants",14,0,3,3
"Asparagus farming, field, bedding plant and seed production",0,0,0,0
Asphalt,5,0,0,3
Asphalt Paving Mixture Block Manufacturing,0,0,0,0
Asphalt Paving Mixture and Block Manufacturing,6,0,1,0
Asphalt Paving and Concretre Installation,0,0,0,0
Asphalt Shingle and Coating Materials Manufacturing,0,0,0,0
Asphalt and asphaltic materials made in petroleum refineries,1,0,1,0
Asphalt and concrete mixtures merchant wholesalers,24,0,4,11
"Asphalt coating and sealing, residential and commercial parking lot and driveway",85,0,49,29
"Asphalt paving (i.e., highway, road, street, public sidewalk)",377,2,139,113
Asphalt paving and installation,9,0,3,3
Asphalt paving blocks made from purchased asphaltic materials,48,0,28,8
Asphalt paving mixtures made from purchased asphaltic materials,80,0,21,43
Asphalt paving mixtures made in petroleum refineries,3,0,0,2
Asphalt road compounds made from purchased asphaltic materials,16,0,8,1
Asphalt roof shingle installation,335,0,156,67
Asphalt roofing cements made from purchased asphaltic materials,27,0,8,11
Asphalt roofing coatings made from purchased asphaltic materials,20,0,4,5
Asphalt roofing construction machinery manufacturing,15,0,5,4
Asphalt roofing shingles merchant wholesalers,60,0,17,20
Asphalt saturated mats and felts made from purchased asphaltic materials and paper,32,0,9,15
Asphalt shingle and coating materials manufacturing,3,0,1,1
Asphalt shingles made from purchased asphaltic materials,81,0,40,27
"Asphalting, residential and commercial driveway and parking area",77,0,37,23
Assemble Power Train Systems,0,0,0,0
Assembly Machinery and Equipment,2,0,0,0
Assembly and Packaging of transaction cards,3,0,1,2
Assembly and test Hoist Winches,0,0,0,0
Assembly line conversions of purchased vans and mini-vans,7,0,1,3
Assembly line rebuilding of automotive and truck gasoline engines,193,1,56,94
"Assembly line rebuilding of automotive, truck, and bus transmissions",248,0,91,82
Assembly machines manufacturing,105,1,32,31
Assembly of aircraft nacelle components,5,0,1,1
Assembly plant construction,29,0,4,22
Assembly plants passenger car on chassis of own manufacture,100,0,24,57
"Assembly plants, heavy trucks, and buses on chassis of own manufacture",921,0,278,315
"Assembly plants, light trucks on chassis of own manufacture",2190,0,687,1410
"Assembly plants, passenger car, on chassis of own manufacture",1709,1,838,841
"Assembly plants, sport utility vehicles on chassis of own manufacture",14,0,3,10
Assessor,1,0,2,0
"Assessor's offices, tax",27,0,9,10
"Assistants, textile and leather finishing, manufacturing",4,0,1,0
Assisted Living,726,0,261,316
Assisted Living & Skilled Nursing,5,0,0,0
Assisted Living Facilities for the Elderly,690,0,425,293
Assisted Living Facilities of Elderly,171,0,16,101
Assisted Living Facilities w/o on-site Nursing Care Facilities,4,0,0,4
Assisted Living Facility,8,0,2,5
Assisted Living Facility for the Elderly,1,0,0,0
Assisted Living Facility with Memory Care,3,0,16,0
Assisted Living for the Elderly,221,0,52,57
Assisted Living; Residential Care - Elderly,14,0,2,8
Assisted living facilities with on-site nursing facilities,14,0,7,1
Assisted-living facilities with on-site nursing facilities,4553,0,2531,1432
Assisted-living facilities without on-site nursing care facilities,8468,1,4689,2665
"Associations for retired persons, advocacy",1,0,1,0
Astrology services,0,0,0,0
"Athletes, amateur, independent",29,0,26,1
"Athletes, independent (i.e., participating in live sports events)",7,0,1,5
"Athletic associations, regulatory",0,0,0,0
"Athletic clothing (except team athletic uniforms), women's and girls', cut and sewn from purchased fabric (except apparel contractors)",4,0,0,4
Athletic clothing cut and sew apparel contractors,0,0,0,0
Athletic clothing made in apparel knitting mills,2,0,1,0
"Athletic club facilities, physical fitness",111,0,36,19
"Athletic clubs (i.e., sports teams) not operating sports facilities, recreational",12,0,7,1
"Athletic court, indoor, construction",2,0,1,1
Athletic equipment and supply stores (including uniforms),44,0,17,23
Athletic field (except stadium) construction,9,0,4,0
Athletic footwear merchant wholesalers,6,0,1,5
"Athletic goods (except ammunition, clothing, footwear, small arms) manufacturing",182,0,54,83
"Athletic goods (except apparel, footwear, nonspecialty) merchant wholesalers",17,0,5,5
"Athletic shoe (except bowling, golf, spiked) stores",79,0,18,46
Athletic shoes manufacturing,28,0,75,10
"Athletic socks, knitting or knitting and finishing",46,0,20,15
Athletic uniforms merchant wholesalers,1,0,1,0
"Athletic uniforms, team, cut and sewn from purchased fabric (except apparel contractors)",13,0,3,3
Atlases commercial printing (except screen) without publishing,0,0,0,0
"Atomizers (e.g., perfumes) manufacturing",1,0,1,0
"Attachments, powered lawn and garden equipment, manufacturing",228,0,79,55
Attic fans manufacturing,2,0,1,1
Attic space insulating,16,0,9,2
Attorney generals' offices,10,0,2,5
Attorneys' offices,18,0,7,0
Attorneys' private practices,3,0,3,0
Attourney office,0,0,0,0
Auction houses (general merchandise),59,0,9,39
"Auction markets, tobacco, horses, mules",0,0,0,0
"Auctions, Internet retail",53,0,27,23
"Auctions, general merchandise (new and used), Internet retail",23,0,1,11
"Auctions, general merchandise (used), Internet retail",6,0,0,1
"Audio Visual Consulting, Install and Maintenance",11,0,5,2
"Audio and video tapes and disks, prerecorded, merchant wholesalers",21,0,13,6
"Audio cabinets (i.e., housings), wood, manufacturing",1,0,0,0
Audio equipment installation (except automotive) contractors,30,0,9,6
Audio equipment stores (except automotive),1,0,1,0
"Audio equipment, household-type, merchant wholesalers",0,0,0,0
Audio visual equipment rental or leasing,34,0,18,10
"Audiological equipment, electromedical, manufacturing",9,0,5,2
"Audiologists' offices (e.g., centers, clinics)",3,0,2,0
"Audiotape, blank, manufacturing",27,0,10,18
"Auditor's offices, government",588,1,221,147
Auditorium rental or leasing,13,0,9,0
Augers (except mining-type) manufacturing,34,0,13,14
"Augers, mining-type, manufacturing",1,0,1,0
"Augers, nonpowered, manufacturing",12,0,2,3
Auto Dealer,13,0,4,0
Auto Glass Distribution,42,0,17,22
Auto Manufacture,0,0,0,0
Auto Parts Distribution,1,0,0,0
Auto Parts Supplier,19,0,4,13
Auto Repair,12,0,7,2
Auto body repair and refinish,40,0,10,2
"Auto body shop supplies, merchant wholesalers",228,0,80,111
"Auto courts, lodging",72,0,28,30
Auto dealership,0,0,0,0
Auto manufacturing,84,0,8,104
Auto parts manufacturing,23,0,3,18
"Auto salvage yards (i.e., retailing used auto parts)",154,0,43,70
Auto supply stores,149,1,47,40
"Autoclaves, industrial-type, heavy gauge metal, manufacturing",0,0,0,0
"Autoclaves, laboratory-type (except dental), manufacturing",3,0,0,0
Autogiros manufacturing,2,0,1,1
Automated and revolving door installation,5,0,2,0
Automated blood and body fluid analyzers (except laboratory) manufacturing,3,0,1,1
"Automated clearinghouses, bank or check (except central bank)",4,0,4,0
Automated data processing services,75,0,5,0
"Automatic (i.e., controlling-type, regulating) valves, industrial-type, manufacturing",48,0,20,17
"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",0,0,0,0
"Automatic chemical analyzers, laboratory-type, manufacturing",14,0,9,0
"Automatic gate (e.g., garage, parking lot) installation",4,0,1,0
"Automatic laundries, coin-operated",19,0,7,5
Automatic merchandising machine operators,64,0,17,30
"Automatic screw machines, metal cutting type, manufacturing",3,0,0,0
"Automatic transmissions, automotive, truck, and bus, manufacturing",365,0,127,174
Automation Assembly Machines Manufacturer,7,0,0,1
Automobile & Other Motor Vehicle Merchant Wholeslr,1,0,1,0
Automobile & Other Motor Vehicle Merchant Wholslr,1,0,1,0
Automobile & Other Motor Vehicles Distributio,1,0,0,1
Automobile & other motor vehicle merchant wholesalers except Tires,441,1,319,123
Automobile Dealers,50,0,13,21
Automobile Dealers - New & Used,16,0,4,0
Automobile Finance and leasing,6,0,5,1
Automobile Manufacturing,3475,0,1524,1047
Automobile New & Used,12,0,5,0
Automobile Repair,4,0,2,1
Automobile Testing,2,0,0,1
"Automobile accessories (except tires, tubes) merchant wholesalers",59,0,16,26
Automobile and Other Motor Vehicle,170,0,58,80
Automobile and Other Motor Vehicle Merchant Wholesalers,451,0,211,147
Automobile antennas manufacturing,0,0,0,0
"Automobile auctions, wholesale",29,0,11,0
"Automobile bodies, passenger car, manufacturing",293,0,50,150
"Automobile carrier trucking, local",10,0,6,3
"Automobile carrier trucking, long-distance",391,0,246,61
"Automobile clubs, road and travel services",29,0,3,4
"Automobile courts, lodging",8,0,5,1
Automobile dead storage,27,0,4,17
"Automobile dealers, new only or new and used",3218,6,1210,656
"Automobile dealers, used only",92,0,44,31
Automobile finance leasing companies,1,0,0,0
Automobile financing,7,0,1,7
Automobile glass merchant wholesalers,10,0,4,4
"Automobile hardware, metal, manufacturing",61,0,21,16
Automobile industrial design services,3,0,0,2
"Automobile insurance carriers, direct",0,0,0,0
Automobile leasing,15,0,4,1
"Automobile lifts (i.e., garage-type, service station) manufacturing",15,0,4,3
Automobile merchant wholesalers,339,0,170,65
Automobile parking garages or lots,409,0,113,16
Automobile parts dealers,38,0,11,19
Automobile polishes and cleaners manufacturing,6,0,2,3
Automobile proving and testing grounds,17,0,2,7
Automobile racetracks,35,0,17,1
Automobile racing teams,19,0,2,1
Automobile radio receivers manufacturing,3,0,0,2
Automobile rental,413,1,260,53
Automobile repossession services,19,0,1,11
Automobile seat covers manufacturing,66,0,6,50
"Automobile seat frames, metal, manufacturing",89,0,29,27
Automobile service station equipment merchant wholesalers,0,0,0,0
Automobile show managers,0,0,0,0
Automobile show organizers,0,0,0,0
Automobile skid chains made from purchased wire,8,0,4,2
Automobile storage batteries manufacturing,93,0,11,58
"Automobile suspension springs, heavy gauge metal, manufacturing",190,0,44,77
"Automobile transporter trailers, multi-car, manufacturing",492,0,114,166
"Automobile transporter trailers, single car, manufacturing",90,0,26,16
"Automobile trimmings, textile, manufacturing",136,0,44,62
"Automobile wrecker (i.e., tow truck) hoists manufacturing",15,0,4,7
Automobile wrecker truck bodies manufacturing,17,0,2,9
Automobile wreckers assembling on purchased chassis,1,0,0,0
Automobiles assembling on chassis of own manufacture,188,0,37,82
Automotive Assembly,0,0,0,0
"Automotive Body, Paint and Interior Repair & Maintenance",0,0,0,0
"Automotive Body, Paint, and Interior Repair and Maintenance",0,0,0,0
Automotive Component Manufacturing,0,0,0,0
Automotive Dealers,690,3,278,168
Automotive Design / Manufacturing,2,0,0,0
Automotive Fabrication and Powder Coating,4,0,1,3
Automotive Fleet Repair and Maintenance Services,2,0,3,0
Automotive Glass Replacement Shop,0,0,0,0
Automotive Glass Replacement Shops,7,0,4,6
Automotive Manufacturing,58,0,5,26
Automotive Parts,398,0,120,208
Automotive Parts & Accessories,7,0,2,3
Automotive Parts Manufacturing,96,0,10,70
Automotive Parts and Accessories Retailers,514,0,146,297
Automotive Parts and Accessories Stores,35,0,9,17
Automotive Repair,71,0,3,0
"Automotive Repair, Services and Parking",1,0,0,1
Automotive Sales,81,0,39,14
Automotive Service,44,0,7,0
Automotive Service/Repair,3,0,1,2
Automotive Stamping,38,0,20,30
Automotive Supplier,185,0,28,112
Automotive Tire Dealers,8,0,5,2
Automotive Transmission,8,0,0,5
Automotive air-conditioning repair shops,0,0,0,0
"Automotive arts, accessories, and tire stores",15,0,2,13
Automotive audio equipment stores,1,0,0,0
Automotive body shops,100,0,30,30
"Automotive chemicals (except lubricating greases, lubrication oils) merchant wholesalers",3,0,1,0
"Automotive detailing services (i.e., cleaning, polishing)",43,0,17,5
Automotive electrical engine diagnostic equipment manufacturing,29,0,17,6
Automotive electrical repair shops,0,0,0,0
Automotive electrical switches manufacturing,17,0,12,6
Automotive emissions testing services,6,0,4,0
Automotive engine repair and replacement shops,120,0,32,37
Automotive fleet repair and maintenance services,0,0,0,0
Automotive glass shops,4,0,0,1
Automotive harness and ignition sets manufacturing,81,0,23,39
Automotive light bulbs manufacturing,6,0,5,0
Automotive lighting fixtures manufacturing,138,0,42,67
Automotive manufacturing,127,0,18,97
"Automotive mirrors, framed, manufacturing",190,0,58,91
Automotive oil change and lubrication shops,296,0,28,1
Automotive or aircraft wire and cable made in aluminum wire drawing plants,0,0,0,0
Automotive paint shops,14,0,7,4
Automotive parts and supply stores,271,0,130,92
"Automotive parts dealers, used",7,0,5,0
Automotive parts distribution,10,0,0,9
"Automotive parts, new, merchant wholesalers",549,0,229,218
"Automotive repair and replacement shops, general",143,0,38,24
Automotive rustproofing and undercoating shops,0,0,0,0
Automotive safety inspection services,27,0,23,7
Automotive supplier,60,0,5,43
Automotive tire dealers,305,0,94,120
Automotive tire repair (except retreading) shops,4,0,2,0
Automotive transmission repair shops,2,0,0,1
Automotive washing and polishing,55,1,25,4
"Automotive, truck and bus steering assemblies and parts manufacturing",236,0,60,93
"Automotive, truck and bus suspension assemblies and parts (except springs) manufacturing",215,1,84,60
Autotransformers manufacturing,5,0,1,4
"Avalanche, rockslide, or mudslide protection construction",4,0,1,0
Aviation,6,0,3,0
Aviation Plywood,0,0,0,0
Aviation Services,0,0,0,0
Aviation cargo,5,0,4,1
Aviation clubs providing a variety of air transportation activities to the general public,1,0,0,0
"Aviation clubs, primarily providing flying field services to the general public",3,0,1,1
"Aviation clubs, recreational",0,0,0,0
Aviation fuels manufacturing,2,0,1,0
Aviation schools,7,0,1,1
Avionics Shop,0,0,0,0
Avocado farming,6,0,1,3
Awning installation,10,0,6,1
Awnings (except canvas) merchant wholesalers,1,0,0,0
"Awnings and canopies, outdoor, made from purchased fabrics",152,0,31,59
"Awnings, canvas, merchant wholesalers",2,0,1,1
"Awnings, rigid plastics or fiberglass, manufacturing",1419,2,499,461
"Awnings, sheet metal (except stampings), manufacturing",38,0,4,7
"Axle bearings, automotive, truck, and bus, manufacturing",53,0,7,35
"Axles, rolled or forged, made in iron and steel mills",11,1,1,6
Azalea farming,7,0,2,3
BAKERY,7,0,7,0
BANKS & TRUST COS.-OFFICE MACHINE REPAIR,1,0,1,0
BCH CHRS & UMBRELLAS-RENTEDTO OTHERS (CGL),126,0,58,36
BEEF CATTLE RANCHING AND FARMING,2,0,1,0
BEVERAGE ALCOHOL DISTRIBUTION,8,0,5,3
BOAT OR SHIP BUILDING WITHOUT MOTORS,30,0,8,14
BONE/IVORY GOODS MFG.,6,0,2,2
BOOKS PRINTING,0,0,0,0
BUILDING MATERIAL DEALER-NEW MATERIALS ONLY:ALL EM,2,0,0,0
BUILDING MATERIALS DEALER,94,0,20,0
BUILDINGS OPERATION BY CONTRACTORS,31,0,25,4
BUS CO. ALL OTHER EMPLOYEES,5,0,4,0
BUSINESS FORMS,2,0,2,0
Baby foods (including meats) canning,10,0,7,2
"Baby foods, canned, merchant wholesalers",108,1,71,25
"Baby formula, fresh, processed, and bottled, manufacturing",12,0,4,5
"Babysitting services, child day care",0,0,0,0
"Backfilling, construction",141,0,41,41
"Backgrounding, cattle",31,0,7,6
Backhoe rental with operator,0,0,0,0
Backhoes manufacturing,7,0,1,3
Backing,5,0,1,2
"Bacon, slab and sliced, made from purchased carcasses",455,0,130,215
"Bacon, slab and sliced, produced in slaughtering plants",13,0,5,8
Bacterial vaccines manufacturing,4,0,0,4
"Bacteriological laboratories, diagnostic",0,0,0,0
Bacteriological research and development laboratories or services (except biotechnology research and development),0,0,0,0
"Badges, fabric, manufacturing",7,0,2,1
"Badges, metal, manufacturing",12,0,4,6
"Badges, plastics, manufacturing",222,0,88,76
"Baffles, fabricated metal plate work, manufacturing",28,0,9,11
Bag leather manufacturing,12,0,1,9
"Bag opening, filling, and closing machines manufacturing",36,0,14,7
"Bagel shops, full service",16,0,6,0
"Bagel shops, on premise baking and carryout service",4,0,1,3
Bagels made in commercial bakeries,76,0,28,41
"Bags (except plastics only) made by laminating or coating combinations of purchased plastics, foil and paper",51,0,22,16
Bags and bagging fabrics made in warp or weft knitting mills,2,0,1,1
"Bags, athletic, manufacturing",0,0,0,0
"Bags, coated paper, made from purchased paper",97,0,47,41
"Bags, foil, made from purchased foil",0,0,0,0
"Bags, golf, manufacturing",0,0,0,0
